FREQ,REF_AREA,VALUE,UNIT_MEASURE,UNIT_MULT,BREAKS,COVERAGE,TITLE_TS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK
Q,5R,R,771,0,,,,2008-Q4,-9.5446,A,F,
Q,5R,R,771,0,,,,2009-Q1,-9.4884,A,F,
Q,5R,R,771,0,,,,2009-Q2,-7.5158,A,F,
Q,5R,R,771,0,,,,2009-Q3,-4.0596,A,F,
Q,5R,R,771,0,,,,2009-Q4,-1.7075,A,F,
Q,5R,R,771,0,,,,2010-Q1,-0.1305,A,F,
Q,5R,R,771,0,,,,2010-Q2,0.9375,A,F,
Q,5R,R,771,0,,,,2010-Q3,-0.1981,A,F,
Q,5R,R,771,0,,,,2010-Q4,-1.348,A,F,
Q,5R,R,771,0,,,,2011-Q1,-2.4306,A,F,
Q,5R,R,771,0,,,,2011-Q2,-3.1964,A,F,
Q,5R,R,771,0,,,,2011-Q3,-2.5624,A,F,
Q,5R,R,771,0,,,,2011-Q4,-2.7506,A,F,
Q,5R,R,771,0,,,,2012-Q1,-1.636,A,F,
Q,5R,R,771,0,,,,2012-Q2,-0.6687,A,F,
Q,5R,R,771,0,,,,2012-Q3,-0.2967,A,F,
Q,5R,R,771,0,,,,2012-Q4,0.9628,A,F,
Q,5R,R,771,0,,,,2013-Q1,1.6163,A,F,
Q,5R,R,771,0,,,,2013-Q2,2.2473,A,F,
Q,5R,R,771,0,,,,2013-Q3,2.8375,A,F,
Q,5R,R,771,0,,,,2013-Q4,3.1319,A,F,
Q,5R,R,771,0,,,,2014-Q1,3.245,A,F,
Q,5R,R,771,0,,,,2014-Q2,2.2401,A,F,
Q,5R,R,771,0,,,,2014-Q3,2.0648,A,F,
Q,5R,R,771,0,,,,2014-Q4,2.3393,A,F,
Q,5R,R,771,0,,,,2015-Q1,3.397,A,F,
Q,5R,R,771,0,,,,2015-Q2,3.7378,A,F,
Q,5R,R,771,0,,,,2015-Q3,4.0207,A,F,
Q,5R,R,771,0,,,,2015-Q4,4.0677,A,F,
Q,5R,R,771,0,,,,2016-Q1,4.0464,A,F,
Q,5R,R,771,0,,,,2016-Q2,4.3033,A,F,
Q,5R,R,771,0,,,,2016-Q3,4.1362,A,F,
Q,5R,R,771,0,,,,2016-Q4,3.7954,A,F,
Q,5R,R,771,0,,,,2017-Q1,3.325,A,F,
Q,5R,R,771,0,,,,2017-Q2,3.5583,A,F,
Q,5R,R,771,0,,,,2017-Q3,3.5141,A,F,
Q,5R,R,771,0,,,,2017-Q4,3.3032,A,F,
Q,5R,R,771,0,,,,2018-Q1,3.108,A,F,
Q,5R,R,771,0,,,,2018-Q2,2.5265,A,F,
Q,5R,R,771,0,,,,2018-Q3,2.0473,A,F,
Q,5R,R,771,0,,,,2018-Q4,1.989,A,F,
Q,5R,R,771,0,,,,2019-Q1,1.7693,A,F,
Q,5R,R,771,0,,,,2019-Q2,1.4904,A,F,
Q,5R,R,771,0,,,,2019-Q3,1.7081,A,F,
Q,5R,R,771,0,,,,2019-Q4,2.0929,A,F,
Q,5R,R,771,0,,,,2020-Q1,2.6323,A,F,
Q,5R,R,771,0,,,,2020-Q2,3.7897,A,F,
Q,5R,R,771,0,,,,2020-Q3,4.5922,A,F,
Q,5R,R,771,0,,,,2020-Q4,6.4493,A,F,
Q,5R,R,771,0,,,,2021-Q1,7.0494,A,F,
Q,5R,R,771,0,,,,2021-Q2,8.1632,A,F,
Q,5R,R,771,0,,,,2021-Q3,8.9115,A,F,
Q,5R,R,771,0,,,,2021-Q4,7.5376,A,F,
Q,5R,R,771,0,,,,2022-Q1,7.1338,A,F,
Q,5R,R,771,0,,,,2022-Q2,4.2077,A,F,
Q,5R,R,771,0,,,,2022-Q3,0.3156,A,F,
Q,5R,R,771,0,,,,2022-Q4,-2.9258,A,F,
Q,5R,R,771,0,,,,2023-Q1,-4.9159,A,F,
Q,5R,R,771,0,,,,2023-Q2,-4.7407,A,F,
Q,5R,R,771,0,,,,2023-Q3,-3.1858,A,F,
Q,5R,R,771,0,,,,2023-Q4,-1.3998,A,F,
Q,5R,R,771,0,,,,2024-Q1,-0.6478,A,F,
Q,5R,R,771,0,,,,2024-Q2,-0.0935,A,F,
Q,5R,R,771,0,,,,2024-Q3,0.3869,A,F,
Q,5R,R,771,0,,,,2024-Q4,0.8305,A,F,
Q,5R,R,771,0,,,,2025-Q1,1.0469,A,F,
Q,5R,R,771,0,,,,2025-Q2,0.652,A,F,
Q,5R,R,771,0,,,,2025-Q3,0.3442,A,F,
Q,5R,R,771,0,,,,2025-Q4,0.3735,A,F,
Q,SK,N,771,0,,,,2007-Q1,21.8644,A,F,
Q,SK,N,771,0,,,,2007-Q2,25.4288,A,F,
Q,SK,N,771,0,,,,2007-Q3,32.6195,A,F,
Q,SK,N,771,0,,,,2007-Q4,35.1038,A,F,
Q,SK,N,771,0,,,,2008-Q1,33.3334,A,F,
Q,SK,N,771,0,,,,2008-Q2,28.5943,A,F,
Q,SK,N,771,0,,,,2008-Q3,13.0071,A,F,
Q,SK,N,771,0,,,,2008-Q4,0.9691,A,F,
Q,SK,N,771,0,,,,2009-Q1,-11.3293,A,F,
Q,SK,N,771,0,,,,2009-Q2,-18.1078,A,F,
Q,SK,N,771,0,,,,2009-Q3,-10.0897,A,F,
Q,SK,N,771,0,,,,2009-Q4,-11.1825,A,F,
Q,SK,N,771,0,,,,2010-Q1,-5.3677,A,F,
Q,SK,N,771,0,,,,2010-Q2,-1.3511,A,F,
Q,SK,N,771,0,,,,2010-Q3,-6.4071,A,F,
Q,SK,N,771,0,,,,2010-Q4,-1.442,A,F,
Q,SK,N,771,0,,,,2011-Q1,-1.0912,A,F,
Q,SK,N,771,0,,,,2011-Q2,-1.996,A,F,
Q,SK,N,771,0,,,,2011-Q3,-0.804,A,F,
Q,SK,N,771,0,,,,2011-Q4,-2.3092,A,F,
Q,SK,N,771,0,,,,2012-Q1,-3.1093,A,F,
Q,SK,N,771,0,,,,2012-Q2,-2.5458,A,F,
Q,SK,N,771,0,,,,2012-Q3,-2.4316,A,F,
Q,SK,N,771,0,,,,2012-Q4,-2.9805,A,F,
Q,SK,N,771,0,,,,2013-Q1,0,A,F,
Q,SK,N,771,0,,,,2013-Q2,1.1494,A,F,
Q,SK,N,771,0,,,,2013-Q3,0.1039,A,F,
Q,SK,N,771,0,,,,2013-Q4,2.1186,A,F,
Q,SK,N,771,0,,,,2014-Q1,-0.4141,A,F,
Q,SK,N,771,0,,,,2014-Q2,1.0331,A,F,
Q,SK,N,771,0,,,,2014-Q3,1.3486,A,F,
Q,SK,N,771,0,,,,2014-Q4,3.3195,A,F,
Q,SK,N,771,0,,,,2015-Q1,5.1975,A,F,
Q,SK,N,771,0,,,,2015-Q2,5.5214,A,F,
